Agency,EffortID,SampleDate,SampleYear,WFMU,Site,GearType,MonitoringType,Species,SampleID,Length_mm,Weight_g,Sex,Maturity,FinalAge,FinalAgeStructure,SampleType1,SampleType1ID,Comment,BoxNo
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-07,632,2178,U,U,9,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-25,628,2753,U,U,8,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-80,586,1966,U,U,8,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-14,580,1905,U,U,7,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-22,597,1986,U,U,7,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-26,530,1448,U,U,7,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-35,542,1691,U,U,7,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-45,515,1189,U,U,7,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-50,501,1084,U,U,7,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-51,498,1308,U,U,7,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-62,541,1424,U,U,7,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-68,552,1474,U,U,7,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-74,525,1601,U,U,7,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-04,517,1186,U,U,6,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-05,556,1364,U,U,6,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-09,515,1285,U,U,6,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-13,556,1615,U,U,6,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-15,545,1641,U,U,6,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-16,490,1122,U,U,6,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-18,513,1286,U,U,6,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-28,538,1523,U,U,6,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-29,476,928,U,U,6,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-34,525,1413,U,U,6,,,,,1
